age_months,L,mean_height,S,StDev,SD5neg,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,age,sex
94,1,125.5869,0.04573,5.7431,96.871,102.615,108.358,114.101,119.844,125.587,131.33,137.073,142.816,148.559,7,1
95,1,126.0706,0.04577,5.7703,97.219,102.99,108.76,114.53,120.3,126.071,131.841,137.611,143.381,149.152,7,1
96,1,126.5558,0.04581,5.7975,97.568,103.366,109.163,114.961,120.758,126.556,132.353,138.151,143.948,149.746,8,1
97,1,127.0424,0.04585,5.8249,97.918,103.743,109.568,115.393,121.218,127.042,132.867,138.692,144.517,150.342,8,1
98,1,127.5304,0.04588,5.8511,98.275,104.126,109.977,115.828,121.679,127.53,133.381,139.233,145.084,150.935,8,1
99,1,128.0199,0.04591,5.8774,98.633,104.51,110.388,116.265,122.143,128.02,133.897,139.775,145.652,151.529,8,1
100,1,128.5109,0.04594,5.9038,98.992,104.896,110.8,116.703,122.607,128.511,134.415,140.318,146.222,152.126,8,1
101,1,129.0035,0.04597,5.9303,99.352,105.282,111.213,117.143,123.073,129.004,134.934,140.864,146.794,152.725,8,1
102,1,129.4975,0.046,5.9569,99.713,105.67,111.627,117.584,123.541,129.498,135.454,141.411,147.368,153.325,8,1
103,1,129.9932,0.04602,5.9823,100.082,106.064,112.046,118.029,124.011,129.993,135.975,141.958,147.94,153.922,8,1
104,1,130.4904,0.04604,6.0078,100.452,106.459,112.467,118.475,124.483,130.49,136.498,142.506,148.514,154.522,8,1
105,1,130.9891,0.04607,6.0347,100.816,106.85,112.885,118.92,124.954,130.989,137.024,143.058,149.093,155.128,8,1
106,1,131.4895,0.04608,6.059,101.194,107.253,113.312,119.371,125.43,131.49,137.549,143.608,149.667,155.726,8,1
107,1,131.9912,0.0461,6.0848,101.567,107.652,113.737,119.822,125.906,131.991,138.076,144.161,150.246,156.33,8,1
